timestamp,x,y,yaw,vx,vy,yaw_rate,steering_angle,speed
2946.898,18.87814524880159,-2.126040808273605,-0.023850043888515575,2.7112501157087143,-0.06468864831375899,0.006462599805395458,0.0,0.0
2946.922,18.951346844005766,-2.127781668718737,-0.023703089696027774,2.713084197663911,-0.06432773933468466,0.006481733960663649,0.0,0.0
2946.933,18.981183836118674,-2.12848816149577,-0.023643001082780876,2.713822502259094,-0.06417390086310533,0.006486748209898807,0.0,0.0
2946.942,19.005601942362144,-2.1290649628717273,-0.02359382040284451,2.7144219687977453,-0.06406849580788573,0.006501560769477348,0.004000000189989805,2.799999952316284
2946.975,19.09789644495122,-2.1312343933370608,-0.02340724506430595,2.716658008332742,-0.06360737287809015,0.006523637893923009,0.004000000189989805,2.799999952316284
2946.988,19.13048901639445,-2.1319963249259404,-0.023341252009908487,2.7174390716217607,-0.06336123274639138,0.006421922161291708,0.003000000026077032,2.799999952316284
2947.013,19.198420019975643,-2.1335775845976697,-0.023203790925622896,2.7190417576214463,-0.063126013847132,0.006540468443378784,0.003000000026077032,2.799999952316284
2947.037,19.26639106733381,-2.135150521101512,-0.02306970901549966,2.720636829125201,-0.0627828296663789,0.006399620344436726,0.003000000026077032,2.799999952316284
2947.049,19.293590628909808,-2.1357773881785906,-0.02301822702445049,2.721270379093539,-0.06267381335128636,0.006234978620379517,0.003000000026077032,2.799999952316284
2947.068,19.3534519009611,-2.1371523011181983,-0.022914533976727082,2.722722389849478,-0.06233923531940995,0.005350818652058772,0.003000000026077032,2.799999952316284
2947.099,19.42968279806524,-2.138895009318523,-0.02280188602226975,2.7244020345400037,-0.062068846956362354,0.004979029357160856,0.003000000026077032,2.799999952316284
2947.111,19.467816449277105,-2.139763692786231,-0.022746229026404188,2.7252645368440187,-0.061921179485099495,0.005057497855928831,0.003000000026077032,2.799999952316284
2947.127,19.508687278178193,-2.140692321144486,-0.022685593193521928,2.7261783297397777,-0.061864594868571376,0.005204261373936412,0.003000000026077032,2.799999952316284
2947.144,19.560476665840866,-2.1418654094543372,-0.022608756205304552,2.7273304718814044,-0.061684991315279075,0.005184504209512192,0.003000000026077032,2.799999952316284
2947.175,19.631381597433837,-2.143465048595173,-0.022505286041237912,2.7288910018009434,-0.061352840207965095,0.004979650301688265,0.003000000026077032,2.799999952316284
2947.186,19.669577856295568,-2.144323778449425,-0.022450778688711804,2.7297197126238624,-0.061221322650137175,0.004892216147157324,0.003000000026077032,2.799999952316284
2947.204,19.718704299027547,-2.1454252632969935,-0.02238262046540204,2.730772380015351,-0.06113971549724373,0.004881103721314002,0.003000000026077032,2.799999952316284
2947.226,19.778773371174037,-2.146767570242131,-0.022300949763008816,2.7320468365050665,-0.060940458695441534,0.004866460936279272,0.003000000026077032,2.799999952316284
2947.241,19.827941523706386,-2.1478626017762426,-0.022233726040266282,2.7330767376203364,-0.06078881623932149,0.0049072074006377055,0.003000000026077032,2.799999952316284
2947.285,19.94000416010215,-2.1503459492547257,-0.022079173289218403,2.735380368605188,-0.06042225353636152,0.004935153407914023,0.003000000026077032,2.799999952316284
2947.291,19.95641144769464,-2.1507080978459334,-0.022056488939715818,2.735712562784426,-0.060361881553961994,0.004933347804770161,0.003000000026077032,2.799999952316284
2947.304,20.000173916050368,-2.1516721912286516,-0.0219959978053933,2.7365920110764637,-0.060217429959851534,0.004939024357926281,0.003000000026077032,2.799999952316284
2947.321,20.03847756454387,-2.152513852761852,-0.021942969772107287,2.7373541462802184,-0.060086888641470125,0.004945773162999188,0.003000000026077032,2.799999952316284
2947.34,20.09047805650556,-2.1536532217504205,-0.02187081974296859,2.738377351810336,-0.05991351060957278,0.004959732541163756,0.003000000026077032,2.799999952316284
2947.362,20.15071327133869,-2.1549683206201817,-0.021786918284305002,2.739546222342702,-0.05970890960547847,0.004978920052613431,0.003000000026077032,2.799999952316284
2947.382,20.205494718944873,-2.1561599664243247,-0.021710232017723565,2.7405944117800938,-0.05951290494428536,0.004994575145733963,0.003000000026077032,2.799999952316284
2947.408,20.276741703006625,-2.157703406358149,-0.02161005211618398,2.7419403842268166,-0.05918307063117321,0.004912019425935146,0.003000000026077032,2.799999952316284
2947.43,20.339796754506036,-2.159063482294459,-0.02152077694860421,2.743106094434854,-0.059053142930918734,0.0050463990784935416,0.003000000026077032,2.799999952316284
2947.458,20.41933892682759,-2.1607710465428163,-0.021407587292038857,2.7445580096967186,-0.058687149675007884,0.004963731570980755,0.003000000026077032,2.799999952316284
2947.471,20.449521023611844,-2.1614166289807795,-0.021364435459963332,2.7451004132843586,-0.05858024400902306,0.004973571963995054,0.003000000026077032,2.799999952316284
2947.5,20.529120393002664,-2.1631129990745235,-0.021250133441634258,2.7465087588182944,-0.05838264389889186,0.005107714588035239,0.003000000026077032,2.799999952316284
2947.505,20.54284854364624,-2.1634046357379004,-0.021230376398336748,2.7467497065905553,-0.058336121002900046,0.005112250790646921,0.003000000026077032,2.799999952316284
2947.57,20.721422494698082,-2.1671734279576036,-0.02097188295919897,2.749811175100754,-0.0576768728216147,0.005143874778638673,0.003000000026077032,2.799999952316284
2947.578,20.743414459356725,-2.1676343648896035,-0.02093992321030336,2.750179208987297,-0.05759878059797942,0.005147707616111668,0.003000000026077032,2.799999952316284
2947.589,20.77640790976443,-2.168324511804607,-0.020891994975458572,2.7507309009010785,-0.05739822647023274,0.005045012734932356,0.003000000026077032,2.799999952316284
2947.599,20.798407187750257,-2.1687838241399384,-0.02085998086291889,2.7510938670957357,-0.0573248469454552,0.005051665265273593,0.003000000026077032,2.799999952316284
